X_[m]		Y_[m]		Z_[m]	Twist_theta_z_[deg]	Chord_[m]	Relative_thickness_[%]
0.00000		0.00000		0.00	0.00			2.42		99.99
-0.01545	0.00145		2.00	-5.37			2.48		96.41
-0.05235	0.00614		4.00	-6.69			2.65		80.53
-0.08960	0.01254		6.00	-7.90			2.81		65.08
-0.12624	0.02073		8.00	-9.11			2.98		51.67
-0.16279	0.01690		10.00	-10.19			3.14		40.30
-0.19638	-0.00230	12.00	-9.39			3.17		32.53
-0.20193	-0.03766	14.00	-7.16			2.99		28.40
-0.20720	-0.07744	16.00	-5.45			2.79		25.62
-0.21224	-0.12355	18.00	-4.34			2.58		23.77
-0.21281	-0.17826	20.00	-3.50			2.38		22.25
-0.20968	-0.24389	22.00	-2.86			2.21		20.99
-0.20203	-0.32359	24.00	-2.31			2.06		20.03
-0.19167	-0.41925	26.00	-1.77			1.92		19.40
-0.17959	-0.53316	28.00	-1.28			1.8		19.03
-0.16755	-0.66737	30.00	-0.90			1.68		18.79
-0.15536	-0.82386	32.00	-0.55			1.55		18.60
-0.14092	-1.00305	34.00	-0.23			1.41		18.39
-0.11843	-1.20272	36.00	-0.03			1.18		17.95
-0.09797	-1.30910	37.00	-0.02			0.98		17.39
-0.06222	-1.41608	38.00	-0.93			0.62		16.33
-0.04084	-1.45947	38.40	-2.32			0.48		15.70
-0.00036	-1.50230	38.80	-6.13			0.07		14.84
